車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
LS,情報なし,460 バージョンC Iパッケージ 禁煙/全画面ナビ/サンルーフ/電動トランク,231.9万円,2017(H29),6.7万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:25.843593,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500 Fスポーツ 現行型 サンルーフ 3眼 マクレビサウンド,543万円,2021(R03),9.8万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:25.844768,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ ムーンルーフ マークレビンソン,589.9万円,2018(H30),1.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.846863,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Iパッケージ ワンオーナー 純正ナビ 全周囲カメラ BT,409.8万円,2018(H30),6.9万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.846863,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h エグゼクティブ 4WD 禁煙/ワンオーナー/サンルーフ/20インチAW,630.7万円,2017(H29),3.1万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.848751,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ 4WD サンルーフ/TRDフルエアロ/4本出しマフラー,519.8万円,2017(H29),5.3万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.849766,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Iパッケージ 4WD SR マクレビ　Dインナ-ミラ-　20AW　寒冷地,449.1万円,2018(H30),8.1万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.850841,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,460 バージョンC Iパッケージ 衝突軽減 純正12型ナビ パワーシート ETC,139.8万円,2017(H29),11.1万km,なし,フロア8AT,4600CC,2025-06-17T12:21:25.852942,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ 赤革シート マークレビンソンスピーカー,449.8万円,2018(H30),7.2万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.853989,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ 4WD 後期　寒冷地　サンルーフ　橙色キャリパー,748万円,2023(R05),5.8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.855036,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Iパッケージ 3眼LED デジタルインナーミラー HUD,445万円,2018(H30),4.6万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.856085,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,460 バージョンC Iパッケージ サンルーフ 本革エアシート 100V電源,198万円,2015(H27),7.1万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:25.857132,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500 Fスポーツ 4WD パノラミックビュ-/サンルーフ/HUD,784.3万円,2022(R04),3.3万km,なし,フロア10AT,3500CC,2025-06-17T12:21:25.858685,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h エグゼクティブ 4WD ワンオーナー/サンルーフ/マークレビンソン,577.2万円,2017(H29),5.8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.859808,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,460 バージョンC Iパッケージ 禁煙/全画面SDナビ/記録簿27枚/サンルーフ,181.7万円,2016(H28),7.6万km,あり,フロアMTモード付8AT,4600CC,2025-06-17T12:21:25.860978,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500 Fスポーツ 純正ナビ 全方位カメラ サンルーフ ETC,469.8万円,2018(H30),7万km,なし,フロア10AT,3400CC,2025-06-17T12:21:25.862392,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Iパッケージ ハイブリット車　サンルーフ　ワンオーナー,598万円,2019(H31),2万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.863417,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,460 バージョンC Iパッケージ 禁煙車/全画面SDナビ/サンルーフ/衝突軽減,242.7万円,2017(H29),4.3万km,あり,フロアMTモード付8AT,4600CC,2025-06-17T12:21:25.864523,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500 Iパッケージ 純正ナビTV 黒革シート サンルーフ 禁煙車,445万円,2018(H30),4.7万km,なし,フロア10AT,3500CC,2025-06-17T12:21:25.865701,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,460L エグゼクティブパッケージ マークレビンソン　社外21インチ　後席M,241万円,2016(H28),9.9万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:25.866748,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ 禁煙/サンル-フ/全周囲カメラ/衝突軽減/BSM,527.4万円,2019(R01),4.6万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.868795,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h バージョンL 4WD 禁煙/サンルーフ/マークレビンソン/黒本革,464.2万円,2017(H29),8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.869350,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ 4WD サンルーフ　マークレビンソン　ナビTV,478万円,2017(H29),7.5万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.870576,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500 Fスポーツ 後期 マンガンラスタ- フレアレッド,719万円,2020(R02),2.2万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:25.871625,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h エグゼクティブ 4WD 禁煙車/サンルーフ/マークレビンソン/BSM,549.8万円,2018(H30),7.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.873723,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h エグゼクティブ 4WD マークレビンソン　白本革　ナビTV,538万円,2017(H29),6.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.874771,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500 Iパッケージ サンルーフ デジタルインナーミラー 黒革,489.1万円,2018(H30),2.4万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:25.875818,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h バージョンL 4WD サンルーフ　セーフティ+　黒革　ナビTV,538万円,2017(H29),4.3万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.876769,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h エグゼクティブ 4WD アドバンストパーク　リヤエンタ　マクレビ,10019.6万円,2023(R05),2.8万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:25.878763,https://www.carsensor.net/usedcar/bLE/s005/index2.html
LS,情報なし,500h Fスポーツ 4WD マクレビ/衝突軽減/HUD/BSM/ETC,499.9万円,2018(H30),7.7万km,なし,フロアCVT,3500CC,2025-06-17T12:21:27.906086,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h エグゼクティブ 衝突軽減/全周囲カメラ/コーナーセンサー,459.9万円,2019(R01),10.3万km,なし,フロアCVT,3500CC,2025-06-17T12:21:27.907085,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 Fスポーツ サンルーフ/3眼LED/BSM/点検整備記録簿10枚,197.7万円,2013(H25),8.4万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.908591,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 バージョンC Iパッケージ サンルーフ/マークレビンソン/三眼LED/BSM,169.1万円,2012(H24),8.2万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.910689,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h バージョンL サンルーフ 茶革シート リアマルチパネル,499.8万円,2018(H30),7.4万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.911686,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500 バージョンL 黒本革・パノラミックビュ・デジタルインナ,533.3万円,2020(R02),4.8万km,なし,フロア10AT,3500CC,2025-06-17T12:21:27.912683,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h バージョンL マークレビンソン 白レザー OP20AW 禁煙車,734.5万円,2021(R03),2.4万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.913681,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h バージョンL 4WD ワンオーナー/記録簿13枚/サンルーフ/BSM,419.8万円,2018(H30),10万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.914678,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h エグゼクティブ サンルーフ/整備記録簿12枚/20インチAW,610万円,2017(H29),4.2万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.916673,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h エグゼクティブ 4WD 禁煙/サンルーフ/記録簿10枚/WALDカスタム,597.8万円,2017(H29),6.2万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.917670,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h バージョンL 4WD サンルーフ　マークレビンソン　20インチ,538万円,2017(H29),4.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.919170,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 バージョンC Iパッケージ サンルーフ 本革エアシート 100V電源,269万円,2014(H26),3.6万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.920169,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500 Iパッケージ モデリスタエアロ オプション20インチ 黒革,369.9万円,2018(H30),10万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:27.921167,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 Fスポーツ TRDエアロ マークレビンソン ムーンルーフ,269.9万円,2016(H28),7.5万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.922165,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h バージョンL 4WD ナビ 全方位 革席 温冷席  BSM HUD,479.8万円,2017(H29),6.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.924159,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h Fスポーツ 4WD 禁煙/サンル-フ/モデリスタフルエアロ/20AW,519.8万円,2017(H29),6.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.925157,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h Iパッケージ 4WD ムーンルーフ デジタルミラー 12インチ ETC,492.8万円,2017(H29),5.7万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.926154,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500 バージョンL 4WD OP20AW モデリスタ TRD SR 寒冷地 Dインナ-,746.2万円,2021(R03),5.8万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:27.927151,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h Fスポーツ 禁煙/サンルーフ/モデリスタ/整備記録簿9枚,509.8万円,2018(H30),6.9万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.928657,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h エグゼクティブ マクレビ/衝突軽減/全周囲カメラ/HUD/BSM,459.9万円,2018(H30),10.1万km,なし,フロアCVT,3500CC,2025-06-17T12:21:27.929723,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500 Fスポーツ SR　マクレビ　セーフティシステム+A,850.3万円,2021(R03),0.9万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:27.930721,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500 Fスポーツ TRDエアロ　TRDマフラー　WORKアルミ,648.8万円,2020(R02),1.8万km,なし,フロアMTモード付10AT,3500CC,2025-06-17T12:21:27.932716,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,460 バージョンC Iパッケージ 禁煙/全画面SDナビ/サンルーフ/オットマン,196.6万円,2016(H28),9.7万km,なし,フロアMTモード付8AT,4600CC,2025-06-17T12:21:27.933714,https://www.carsensor.net/usedcar/bLE/s005/index3.html
LS,情報なし,500h Iパッケージ 3眼LED デジタルインナーミラー 本革シート,329万円,2018(H30),11.3万km,なし,フロアMTモード付CVT,3500CC,2025-06-17T12:21:27.934964,https://www.carsensor.net/usedcar/bLE/s005/index3.html
